pred_ceremony_date,stations,count
2025-04-03,"コスモスクエア, 北加賀屋, 大正, 大阪港, 平野, 朝潮橋, 東三国",7
2025-04-04,"動物園前, 千林大宮, 富田, 横堤, 白庭台, 花園町, 蒲生四丁目",7
2025-04-07,"あびこ, 上新庄, 上牧, 南港口, 太子橋今市, 学研奈良登美ヶ丘, 摂津市, 東梅田, 柴島, 桃山台, 荒本, 西梅田, 西院, 野江内代, 長岡天神, 関大前, 関目成育, 高井田",18
2025-04-08,"ポートタウン東, 北千里, 千里山, 天満橋, 山田, 平林, 文の里, 昭和町, 東向日, 江坂, 緑橋, 茨木市, 長居, 駒川中野, 高槻市",15
2025-04-09,"上桂, 下新庄, 八尾南, 四天王寺前夕陽ヶ丘, 扇町, 深江橋, 瑞光四丁目, 相川, 西大橋, 西山天王山, 西田辺, 都島, 長堀橋",13
2025-04-10,"トレードセンター前, 北花田, 南森町, 天下茶屋, 恵美須町",5
2025-04-11,"井高野, 京橋, 学研北生駒, 新森古市, 水無瀬, 烏丸, 生駒, 西向日, 鴫野",9
2025-04-14,"今福鶴見, 今里, 南巽, 南港東, 小路, 正雀, 玉造, 谷町九丁目, 谷町四丁目, 阿波座",10
2025-04-15,"中津, 天神橋筋六丁目, 守口, 玉出, 野田阪神",5
2025-04-16,"中ふ頭, 南千里, 大国町, 洛西口, 箕面船場阪大前, 西京極, 阿倍野",7
2025-04-17,"住之江公園, 喜連瓜破, 玉川, 箕面萱野",4
2025-04-18,"弁天町, 新深江, 松尾大社, 田辺, 緑地公園",5
2025-04-21,"大阪ビジネスパーク, 本町, 桜川, 谷町六丁目",4
2025-04-22,"四ツ橋, 岸里, 総持寺, 西中島南方, 長田, 鶴見緑地",6
2025-04-23,"ポートタウン西, 北巽, 新金岡, 清水, 長原, 関目高殿",6
2025-04-24,"ドーム前千代崎, 九条, 千里中央, 新大阪, 森ノ宮, 豊津",6
2025-04-25,"なんば, 中崎町, 京都河原町, 大宮, 天王寺",5
2025-04-28,"だいどう豊里, 松屋町, 鶴橋",3
2025-04-30,"堺筋本町, 西長堀",2
