Column1,Column2,Column3
WKT,ñºëO,ê‡ñæ
POINT (135.497099 34.758866 0.0),ç]ç‚,
"POLYGON ((135.497099 34.766061, 135.495535 34.765945, 135.494022 34.765602, 135.492607 34.765042, 135.491337 34.764284, 135.490252 34.763352, 135.489387 34.762275, 135.48877 34.761089, 135.488421 34.759831, 135.488351 34.758543, 135.488562 34.757265, 135.489047 34.756038, 135.489791 34.754902, 135.49077 34.753894, 135.491952 34.753045, 135.4933 34.752384, 135.494769 34.751931, 135.496314 34.7517, 135.497884 34.7517, 135.499429 34.751931, 135.500898 34.752384, 135.502246 34.753045, 135.503428 34.753894, 135.504407 34.754902, 135.505151 34.756038, 135.505636 34.757265, 135.505847 34.758543, 135.505777 34.759831, 135.505428 34.761089, 135.504811 34.762275, 135.503946 34.763352, 135.502861 34.764284, 135.501591 34.765042, 135.500176 34.765602, 135.498663 34.765945, 135.497099 34.766061))",ç]ç‚ 800m radius,
POINT (135.495325 34.757882 0.0),NíÜìôïî / NçÇìôäwçZ ç]ç‚ÉLÉÉÉìÉpÉX,195.5 m from ç]ç‚
POINT (135.497354 34.756501 0.0),â»äwãZèpäwâÄçÇìôäwçZ ëÂç„ï™é∫,264.0 m from ç]ç‚
POINT (135.494285 34.760396 0.0),êÅìcésóßñLí√êºíÜäwçZ,308.3 m from ç]ç‚
POINT (135.504107 34.758327 0.0),êÅìcésóßñLí√íÜäwçZ,643.0 m from ç]ç‚
POINT (135.498505 34.741149 0.0),ìåéOçë,
"POLYGON ((135.498505 34.748344, 135.496942 34.748228, 135.495428 34.747885, 135.494014 34.747325, 135.492744 34.746567, 135.491659 34.745635, 135.490795 34.744558, 135.490178 34.743372, 135.489829 34.742114, 135.489759 34.740826, 135.489969 34.739548, 135.490454 34.738321, 135.491198 34.737185, 135.492177 34.736177, 135.493359 34.735328, 135.494706 34.734667, 135.496176 34.734214, 135.49772 34.733983, 135.49929 34.733983, 135.500834 34.734214, 135.502304 34.734667, 135.503651 34.735328, 135.504833 34.736177, 135.505812 34.737185, 135.506556 34.738321, 135.507041 34.739548, 135.507251 34.740826, 135.507181 34.742114, 135.506832 34.743372, 135.506215 34.744558, 135.505351 34.745635, 135.504266 34.746567, 135.502996 34.747325, 135.501582 34.747885, 135.500068 34.748228, 135.498505 34.748344))",ìåéOçë 800m radius,
POINT (135.496626 34.744894 0.0),ëÂç„ésóßìåéOçëíÜäwçZ,450.4 m from ìåéOçë
POINT (135.497041 34.736318 0.0),ëÂç„ï{óßìåóÑêÏçÇìôäwçZ,553.6 m from ìåéOçë
POINT (135.492464 34.737694 0.0),ëÂç„ésóßã{å¥íÜäwçZ,672.5 m from ìåéOçë
POINT (135.498544 34.732895 0.0),êVëÂç„,
"POLYGON ((135.498544 34.74009, 135.496981 34.739974, 135.495468 34.739631, 135.494054 34.739071, 135.492784 34.738313, 135.491699 34.737381, 135.490835 34.736304, 135.490218 34.735118, 135.489869 34.73386, 135.489798 34.732572, 135.490009 34.731294, 135.490494 34.730067, 135.491238 34.728931, 135.492217 34.727923, 135.493399 34.727074, 135.494746 34.726413, 135.496215 34.72596, 135.497759 34.725729, 135.499329 34.725729, 135.500873 34.72596, 135.502342 34.726413, 135.503689 34.727074, 135.504871 34.727923, 135.50585 34.728931, 135.506594 34.730067, 135.507079 34.731294, 135.50729 34.732572, 135.507219 34.73386, 135.50687 34.735118, 135.506253 34.736304, 135.505389 34.737381, 135.504304 34.738313, 135.503034 34.739071, 135.50162 34.739631, 135.500107 34.739974, 135.498544 34.74009))",êVëÂç„ 800m radius,
POINT (135.497041 34.736318 0.0),ëÂç„ï{óßìåóÑêÏçÇìôäwçZ,404.6 m from êVëÂç„
