station,school,distance_m,school_lat,school_lon,授業開始日,情報源URL
あびこ,府立阪南高等学校,542.9,34.595237,135.516441,,
あびこ,市立我孫子中学校,619.2,34.604625,135.5121332,,
あびこ,大阪市立我孫子中学校,656.7,34.604967,135.5121785,,
あびこ,市立我孫子南中学校,664.1,34.5932113,135.5114509,,
あびこ,市立東我孫子中学校,733.6,34.602986,135.519246,,
だいどう豊里,大阪市立東淀中学校,600,34.7437272,135.5379785,,
だいどう豊里,大阪市立大桐中学校,682.9,34.7488765,135.5489779,,
なんば,大阪市立日本橋中学校,587.2,34.6586357,135.5037403,,
コスモスクエア,大阪金剛インターナショナル小中高等学校,585,34.6392142,135.4072977,,
トレードセンター前,大阪金剛インターナショナル小中高等学校,447.3,34.6392142,135.4072977,,
ドーム前千代崎,大阪市立西中学校,99.8,34.671479,135.4784006,,
ドーム前千代崎,大阪市立堀江中学校,542.7,34.6742743,135.4843353,,
ドーム前千代崎,大阪市立堀江中学校,563.8,34.6736314,135.4850602,,
ポートタウン東,大阪市立南港南中学校,387.9,34.6288094,135.4257444,,
ポートタウン東,大阪府立水都国際中学校・高等学校,453.2,34.6273959,135.4265944,,
ポートタウン東,大阪市立南港北中学校,721.7,34.6354135,135.4234949,,
ポートタウン西,大阪市立南港南中学校,355.2,34.6288094,135.4257444,,
ポートタウン西,大阪市立南港北中学校,505.3,34.6354135,135.4234949,,
ポートタウン西,大阪府立水都国際中学校・高等学校,521.4,34.6273959,135.4265944,,
上新庄,関西大学北陽高等学校,606.6,34.7454348,135.5299781,,
上桂,市立桂中学校,297.9,34.9881593,135.6939584,,
上牧,金光大阪中学校・高等学校,269.5,34.8700956,135.6634594,,
下新庄,吹田市立第三中学校,705,34.7520334,135.522881,,
中ふ頭,大阪市立南港北中学校,574.4,34.6354135,135.4234949,,
中崎町,大阪市立天満中学校,424.1,34.703545,135.5068376,,
中崎町,クラーク記念国際高等学校,647.4,34.7113286,135.5005974,,
中津,クラーク記念国際高等学校,767.7,34.7113286,135.5005974,,
九条,大阪市立西中学校,616.9,34.671479,135.4784006,,
井高野,大阪市立井高野中学校,490.3,34.7642797,135.5485607,,
京橋,大阪市立東高等学校,421.5,34.6992827,135.5284974,,
京橋,大阪市立桜宮中学校,639.5,34.7015567,135.5364031,,
京橋,開明中学校・高等学校,717.4,34.7011385,135.5381661,,
京都河原町,飛鳥未来きぼう高等学校　京都キャンパス,228.5,35.0027321,135.7665552,,
今福鶴見,大阪市立菫中学校,547.6,34.7067101,135.5582551,,
今福鶴見,市立鯰江中学校,612.1,34.7018082,135.5531992,,
今福鶴見,大阪産業大学附属中学校,726.4,34.708505,135.559783,,
今福鶴見,大阪産業大学附属高等学校,765.7,34.708809,135.558879,,
今里,大阪市立東生野中学校,467.3,34.660635,135.5507336,,
住之江公園,市立住之江中学校,572.2,34.6058832,135.4783002,,
住之江公園,市立真住中学校,684.2,34.613077,135.4784014,,
八尾南,八尾市立大正中学校,377.8,34.6007131,135.582141,,
動物園前,大阪市立今宮中学校,544.6,34.6489231,135.4985942,,
動物園前,大阪市立木津中学校,641.8,34.6533058,135.5001763,,
動物園前,大阪府立今宮高等学校,678.1,34.6524882,135.4986512,,
動物園前,大阪府立今宮工科高等学校,731.7,34.6495691,135.4966036,,
北加賀屋,市立加賀屋中学校,337.1,34.619185,135.4767854,,
北加賀屋,市立住吉第一中学校,733.8,34.6217978,135.4874109,,
北千里,吹田市立青山台中学校,348.9,34.8224619,135.5086372,,
北巽,市立新生野中学校,305.6,34.652158,135.5579518,,
北巽,関西福祉大学金光藤蔭高等学校スポーツエリア,420.3,34.6567962,135.5572955,,
北巽,関西福祉大学金光藤蔭高等学校,474.4,34.6576513,135.5562556,,
北巽,府立大阪わかば高等学校,530,34.650523,135.5595599,,
北巽,市立巽中学校,762.9,34.6468284,135.5531158,,
北花田,松原市立第五中学校,766.1,34.5818211,135.5247607,,
北花田,市立松原第五中学校,793.6,34.581711,135.525052,,
千林大宮,大阪市立大宮中学校,778,34.7269723,135.5414212,,
千里中央,豊中市立第九中学校,586.9,34.8049503,135.4895357,,
千里中央,大阪府立千里青雲高等学校,758.9,34.8044779,135.487714,,
